token	source	category	definition
tel2	spec	tag_script	Telugu v.2	
thaa	spec	tag_script	Thaana	
thai	spec	tag_script	Thai	
tibt	spec	tag_script	Tibetan	
tfng	spec	tag_script	Tifinagh	
tirh	spec	tag_script	Tirhuta	
todr	spec	tag_script	Todhri	
tols	spec	tag_script	Tolong Siki	
toto	spec	tag_script	Toto	
tutg	spec	tag_script	Tulu-Tigalari	
ugar	spec	tag_script	Ugaritic Cuneiform	
vai 	spec	tag_script	Vai	
vith	spec	tag_script	Vithkuqi	
wcho	spec	tag_script	Wancho	
wara	spec	tag_script	Warang Citi	
yezi	spec	tag_script	Yezidi	
yi  	spec	tag_script	Yi (actual tag byte sequence is 0x79 0x69 0x20 0x20.)	
zanb	spec	tag_script	Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)	
zz01	volt	tag_script	VOLT internal usage	
AAQ 	spec	tag_language	Eastern Abenaki	
ABA 	spec	tag_language	Abaza	
ABK 	spec	tag_language	Abkhazian	
ACH 	spec	tag_language	Acholi	
ACR 	spec	tag_language	Achi	
ACY 	spec	tag_language	Cypriot Arabic	
ADY 	spec	tag_language	Adyghe	
AFK 	spec	tag_language	Afrikaans	
AFR 	spec	tag_language	Afar	
AGW 	spec	tag_language	Agaw	
AIO 	spec	tag_language	Aiton	
AKA 	spec	tag_language	Akan	
AKB 	spec	tag_language	Batak Angkola	
ALS 	spec	tag_language	Alsatian	
ALT 	spec	tag_language	Altai	
AMH 	spec	tag_language	Amharic	
ANG 	spec	tag_language	Anglo-Saxon	
APPH	spec	tag_language	Phonetic transcription—Americanist conventions	
ARA 	spec	tag_language	Arabic	
ARG 	spec	tag_language	Aragonese	
ARI 	spec	tag_language	Aari	
ARK 	spec	tag_language	Rakhine	
ASM 	spec	tag_language	Assamese	
AST 	spec	tag_language	Asturian	
ATH 	spec	tag_language	Athapaskan languages	
ATS 	spec	tag_language	Gros Ventre (Atsina)	
AVN 	spec	tag_language	Avatime	
AVR 	spec	tag_language	Avar	
AWA 	spec	tag_language	Awadhi	
AYM 	spec	tag_language	Aymara	
AZB 	spec	tag_language	Torki	
AZE 	spec	tag_language	Azerbaijani	
BAD 	spec	tag_language	Badaga	
BAD0	spec	tag_language	Banda	
BAG 	spec	tag_language	Baghelkhandi	
BAL 	spec	tag_language	Balkar	
BAN 	spec	tag_language	Balinese	
BAR 	spec	tag_language	Bavarian	
BAU 	spec	tag_language	Baulé	
BBC 	spec	tag_language	Batak Toba	
BBR 	spec	tag_language	Berber	
BCH 	spec	tag_language	Bench	
BCR 	spec	tag_language	Bible Cree	
BDC 	spec	tag_language	Emberá-Baudó	
BDY 	spec	tag_language	Bandjalang	
BEL 	spec	tag_language	Belarusian	
BEM 	spec	tag_language	Bemba	
BEN 	spec	tag_language	Bangla	
BGC 	spec	tag_language	Haryanvi	
BGQ 	spec	tag_language	Bagri	
BGR 	spec	tag_language	Bulgarian	
BHI 	spec	tag_language	Bhili	
BHO 	spec	tag_language	Bhojpuri	
BIK 	spec	tag_language	Bikol	
BIL 	spec	tag_language	Bilen	
BIS 	spec	tag_language	Bislama	
BJJ 	spec	tag_language	Kanauji	
BKF 	spec	tag_language	Blackfoot	
BLI 	spec	tag_language	Baluchi	
BLK 	spec	tag_language	Pa’o Karen	
BLN 	spec	tag_language	Balante	
BLT 	spec	tag_language	Balti	
BMB 	spec	tag_language	Bambara (Bamanankan)	
BML 	spec	tag_language	Bamileke	
BOS 	spec	tag_language	Bosnian	
BPY 	spec	tag_language	Bishnupriya Manipuri	
BRE 	spec	tag_language	Breton	
BRH 	spec	tag_language	Brahui	
BRI 	spec	tag_language	Braj Bhasha	
BRM 	spec	tag_language	Burmese	
BRX 	spec	tag_language	Bodo	
BSH 	spec	tag_language	Bashkir	
BSK 	spec	tag_language	Burushaski	
BTD 	spec	tag_language	Batak Dairi (Pakpak)	
BTI 	spec	tag_language	Beti	
BTK 	spec	tag_language	Batak languages	
BTM 	spec	tag_language	Batak Mandailing	
BTS 	spec	tag_language	Batak Simalungun	
BTX 	spec	tag_language	Batak Karo	
BTZ 	spec	tag_language	Batak Alas-Kluet	
BUG 	spec	tag_language	Bugis	
BYV 	spec	tag_language	Medumba	
CAK 	spec	tag_language	Kaqchikel	
CAT 	spec	tag_language	Catalan	
CAY 	spec	tag_language	Cayuga	
CBG 	spec	tag_language	Chimila	
CBK 	spec	tag_language	Zamboanga Chavacano	
CCHN	spec	tag_language	Chinantec	
CEB 	spec	tag_language	Cebuano	
CGG 	spec	tag_language	Chiga	
CHA 	spec	tag_language	Chamorro	
CHE 	spec	tag_language	Chechen	
CHG 	spec	tag_language	Chaha Gurage	
CHH 	spec	tag_language	Chattisgarhi	
CHI 	spec	tag_language	Chichewa (Chewa, Nyanja)	
CHK 	spec	tag_language	Chukchi	
CHK0	spec	tag_language	Chuukese	
CHO 	spec	tag_language	Choctaw	
CHP 	spec	tag_language	Chipewyan	
CHR 	spec	tag_language	Cherokee	
CHU 	spec	tag_language	Chuvash	
CHY 	spec	tag_language	Cheyenne	
CJA 	spec	tag_language	Western Cham	
CJM 	spec	tag_language	Eastern Cham	
CMI 	spec	tag_language	Emberá-Chamí	
CMR 	spec	tag_language	Comorian	
COO 	spec	tag_language	Comox	
COP 	spec	tag_language	Coptic	
COR 	spec	tag_language	Cornish	
COS 	spec	tag_language	Corsican	
CPP 	spec	tag_language	Creoles	
CRE 	spec	tag_language	Cree	
CRR 	spec	tag_language	Carrier	
CRT 	spec	tag_language	Crimean Tatar	
CSB 	spec	tag_language	Kashubian	
CSL 	spec	tag_language	Church Slavonic	
CSY 	spec	tag_language	Czech	
CTG 	spec	tag_language	Chittagonian	
CTO 	spec	tag_language	Emberá-Catío	
CTT 	spec	tag_language	Wayanad Chetti	
CUK 	spec	tag_language	San Blas Kuna	
DAG 	spec	tag_language	Dagbani	
DAN 	spec	tag_language	Danish	
DAR 	spec	tag_language	Dargwa	
DAX 	spec	tag_language	Dayi	
DCR 	spec	tag_language	Woods Cree	
DEU 	spec	tag_language	German	
DGO 	spec	tag_language	Dogri (individual language)	
DGR 	spec	tag_language	Dogri (macrolanguage)	
DHG 	spec	tag_language	Dhangu	
DHV 	spec	tag_language	(deprecated) Divehi (Dhivehi, Maldivian)	
DIQ 	spec	tag_language	Dimli	
DIV 	spec	tag_language	Divehi (Dhivehi, Maldivian)	
DJR 	spec	tag_language	Zarma	
DJR0	spec	tag_language	Djambarrpuyngu	
DNG 	spec	tag_language	Dangme	
DNJ 	spec	tag_language	Dan	
DNK 	spec	tag_language	Dinka	
DRI 	spec	tag_language	Dari	
DUJ 	spec	tag_language	Dhuwal	
DUN 	spec	tag_language	Dungan	
DZN 	spec	tag_language	Dzongkha	
EBI 	spec	tag_language	Ebira	
ECR 	spec	tag_language	Eastern Cree	
EDO 	spec	tag_language	Edo	
EFI 	spec	tag_language	Efik	
ELL 	spec	tag_language	Greek	
EMK 	spec	tag_language	Eastern Maninkakan	
EMP 	spec	tag_language	Northern Emberá	
ENG 	spec	tag_language	English	
ERZ 	spec	tag_language	Erzya	
ESP 	spec	tag_language	Spanish	
ESU 	spec	tag_language	Central Yupik	
ETI 	spec	tag_language	Estonian	
EUQ 	spec	tag_language	Basque	
EVK 	spec	tag_language	Evenki	
EVN 	spec	tag_language	Even	
EWE 	spec	tag_language	Ewe	
FAN 	spec	tag_language	French Antillean	
FAN0	spec	tag_language	Fang	
FAR 	spec	tag_language	Persian	
FAT 	spec	tag_language	Fanti	
FIN 	spec	tag_language	Finnish	
FJI 	spec	tag_language	Fijian	
FLE 	spec	tag_language	Dutch (Flemish)	
FMP 	spec	tag_language	Fe’fe’	
FNE 	spec	tag_language	Forest Enets	
FON 	spec	tag_language	Fon	
FOS 	spec	tag_language	Faroese	
FRA 	spec	tag_language	French	
FRC 	spec	tag_language	Cajun French	
FRI 	spec	tag_language	Frisian	
FRL 	spec	tag_language	Friulian	
FRP 	spec	tag_language	Arpitan	
FTA 	spec	tag_language	Futa	
FUL 	spec	tag_language	Fulah	
FUV 	spec	tag_language	Nigerian Fulfulde	
GAD 	spec	tag_language	Ga	
GAE 	spec	tag_language	Scottish Gaelic	
GAG 	spec	tag_language	Gagauz	
GAL 	spec	tag_language	Galician	
GAR 	spec	tag_language	Garshuni	
GAW 	spec	tag_language	Garhwali	
GEZ 	spec	tag_language	Geez	
GIH 	spec	tag_language	Githabul	
GIL 	spec	tag_language	Gilyak	
GIL0	spec	tag_language	Kiribati (Gilbertese)	
GKP 	spec	tag_language	Kpelle (Guinea)	
GLK 	spec	tag_language	Gilaki	
GMZ 	spec	tag_language	Gumuz	
GNN 	spec	tag_language	Gumatj	
GOG 	spec	tag_language	Gogo	
GON 	spec	tag_language	Gondi	
GRN 	spec	tag_language	Greenlandic	
GRO 	spec	tag_language	Garo	
GUA 	spec	tag_language	Guarani	
GUC 	spec	tag_language	Wayuu	
GUF 	spec	tag_language	Gupapuyngu	
GUJ 	spec	tag_language	Gujarati	
GUZ 	spec	tag_language	Gusii	
HAI 	spec	tag_language	Haitian (Haitian Creole)	
HAI0	spec	tag_language	Haida	
HAL 	spec	tag_language	Halam (Falam Chin)	
HAR 	spec	tag_language	Harauti	
HAU 	spec	tag_language	Hausa	
HAW 	spec	tag_language	Hawaiian	
HAY 	spec	tag_language	Haya	
HAZ 	spec	tag_language	Hazaragi	
HBN 	spec	tag_language	Hammer-Banna	
HEI 	spec	tag_language	Heiltsuk	
HER 	spec	tag_language	Herero	
HIL 	spec	tag_language	Hiligaynon	
HIN 	spec	tag_language	Hindi	
HMA 	spec	tag_language	High Mari	
HMD 	spec	tag_language	A-Hmao	
HMN 	spec	tag_language	Hmong	
HMO 	spec	tag_language	Hiri Motu	
HMZ 	spec	tag_language	Hmong Shuat	
HND 	spec	tag_language	Hindko	
HO 	spec	tag_language	Ho	
HRI 	spec	tag_language	Harari	
HRV 	spec	tag_language	Croatian	
HUN 	spec	tag_language	Hungarian	
HUR 	spec	tag_language	Halkomelem	
HYE 	spec	tag_language	Armenian	
HYE0	spec	tag_language	Armenian East	
IBA 	spec	tag_language	Iban	
IBB 	spec	tag_language	Ibibio	
IBO 	spec	tag_language	Igbo	
IDO 	spec	tag_language	Ido	
IJO 	spec	tag_language	Ijo languages	
ILE 	spec	tag_language	Interlingue	
ILO 	spec	tag_language	Ilokano	
INA 	spec	tag_language	Interlingua	
IND 	spec	tag_language	Indonesian	
ING 	spec	tag_language	Ingush	
INU 	spec	tag_language	Inuktitut	
INUK	spec	tag_language	Nunavik Inuktitut	
IPK 	spec	tag_language	Inupiat	
IPPH	spec	tag_language	Phonetic transcription—IPA conventions	
IRI 	spec	tag_language	Irish	
IRT 	spec	tag_language	Irish Traditional	
IRU 	spec	tag_language	Irula	
ISL 	spec	tag_language	Icelandic	
ISM 	spec	tag_language	Inari Sami	
ITA 	spec	tag_language	Italian	
IWR 	spec	tag_language	Hebrew	
JAM 	spec	tag_language	Jamaican Creole	
JAN 	spec	tag_language	Japanese	
JAV 	spec	tag_language	Javanese	
JBO 	spec	tag_language	Lojban	
JCT 	spec	tag_language	Krymchak	
JDT 	spec	tag_language	Judeo-Tat	
JII 	spec	tag_language	Yiddish	
JUD 	spec	tag_language	Ladino	
JUL 	spec	tag_language	Jula	
KAB 	spec	tag_language	Kabardian	
KAB0	spec	tag_language	Kabyle	
KAC 	spec	tag_language	Kachchi	
KAL 	spec	tag_language	Kalenjin	
KAN 	spec	tag_language	Kannada	
KAR 	spec	tag_language	Karachay	
KAT 	spec	tag_language	Georgian	
KAW 	spec	tag_language	Kawi (Old Javanese)	
KAZ 	spec	tag_language	Kazakh	
KBC 	spec	tag_language	Kadiwéu	
KDE 	spec	tag_language	Makonde	
KEA 	spec	tag_language	Kabuverdianu (Crioulo)	
KEB 	spec	tag_language	Kebena	
KEK 	spec	tag_language	Kekchi	
KGE 	spec	tag_language	Khutsuri Georgian	
KGF 	spec	tag_language	Kube	
KHA 	spec	tag_language	Khakass	
KHK 	spec	tag_language	Khanty-Kazim	
KHM 	spec	tag_language	Khmer	
KHS 	spec	tag_language	Khanty-Shurishkar	
KHT 	spec	tag_language	Khamti Shan	
KHV 	spec	tag_language	Khanty-Vakhi	
KHW 	spec	tag_language	Khowar	
KIK 	spec	tag_language	Kikuyu (Gikuyu)	
KIR 	spec	tag_language	Kirghiz (Kyrgyz)	
KIS 	spec	tag_language	Kisii	
KIU 	spec	tag_language	Kirmanjki	
KJD 	spec	tag_language	Southern Kiwai	
KJJ 	spec	tag_language	Khinalug	
KJP 	spec	tag_language	Eastern Pwo Karen	
KJZ 	spec	tag_language	Bumthangkha	
KKN 	spec	tag_language	Kokni	
KLM 	spec	tag_language	Kalmyk	
KMB 	spec	tag_language	Kamba	
KMG 	spec	tag_language	Kâte	
KMN 	spec	tag_language	Kumaoni	
KMO 	spec	tag_language	Komo	
KMS 	spec	tag_language	Komso	
KMZ 	spec	tag_language	Khorasani Turkic	
KNR 	spec	tag_language	Kanuri	
KOD 	spec	tag_language	Kodagu	
KOH 	spec	tag_language	Korean Old Hangul	
KOK 	spec	tag_language	Konkani	
KOM 	spec	tag_language	Komi	
KON 	spec	tag_language	Kikongo	
KON0	spec	tag_language	Kongo	
KOP 	spec	tag_language	Komi-Permyak	
KOR 	spec	tag_language	Korean	
KOS 	spec	tag_language	Kosraean	
KOZ 	spec	tag_language	Komi-Zyrian	
KPL 	spec	tag_language	Kpelle	
KRI 	spec	tag_language	Krio	
KRK 	spec	tag_language	Karakalpak	
KRL 	spec	tag_language	Karelian	
KRM 	spec	tag_language	Karaim	
KRN 	spec	tag_language	Karen	
KRT 	spec	tag_language	Koorete	
KSH 	spec	tag_language	Kashmiri	
KSH0	spec	tag_language	Ripuarian	
KSI 	spec	tag_language	Khasi	
KSM 	spec	tag_language	Kildin Sami	
KSU 	spec	tag_language	Khamyang	
KSW 	spec	tag_language	S’gaw Karen	
KUA 	spec	tag_language	Kuanyama	
KUI 	spec	tag_language	Kui	
KUL 	spec	tag_language	Kulvi	
KUM 	spec	tag_language	Kumyk	
KUR 	spec	tag_language	Kurdish	
KUU 	spec	tag_language	Kurukh	
KUY 	spec	tag_language	Kuy	
KVQ 	spec	tag_language	Geba Karen	
KWK 	spec	tag_language	Kwakʼwala	
KYK 	spec	tag_language	Koryak	
KYU 	spec	tag_language	Western Kayah	
LAD 	spec	tag_language	Ladin	
LAH 	spec	tag_language	Lahuli	
LAK 	spec	tag_language	Lak	
LAM 	spec	tag_language	Lambani	
LAO 	spec	tag_language	Lao	
LAT 	spec	tag_language	Latin	
LAZ 	spec	tag_language	Laz	
LCR 	spec	tag_language	L-Cree	
LDK 	spec	tag_language	Ladakhi	
LEF 	spec	tag_language	Lelemi	
LEZ 	spec	tag_language	Lezgi	
LIJ 	spec	tag_language	Ligurian	
LIM 	spec	tag_language	Limburgish	
LIN 	spec	tag_language	Lingala	
LIS 	spec	tag_language	Lisu	
LIV 	spec	tag_language	Liv	
LJP 	spec	tag_language	Lampung	
LKI 	spec	tag_language	Laki	
LMA 	spec	tag_language	Low Mari	
LMB 	spec	tag_language	Limbu	
LMO 	spec	tag_language	Lombard	
LMW 	spec	tag_language	Lomwe	
LOM 	spec	tag_language	Loma	
LPO 	spec	tag_language	Lipo	
LRC 	spec	tag_language	Luri	
LSB 	spec	tag_language	Lower Sorbian	
LSM 	spec	tag_language	Lule Sami	
LTH 	spec	tag_language	Lithuanian	
LTZ 	spec	tag_language	Luxembourgish	
LUA 	spec	tag_language	Luba-Lulua	
LUB 	spec	tag_language	Luba-Katanga	
LUG 	spec	tag_language	Ganda	
LUH 	spec	tag_language	Luyia	
LUO 	spec	tag_language	Luo	
LUT 	spec	tag_language	Lushootseed	
LVI 	spec	tag_language	Latvian	
MAD 	spec	tag_language	Madura	
MAG 	spec	tag_language	Magahi	
MAH 	spec	tag_language	Marshallese	
MAJ 	spec	tag_language	Majang	
MAK 	spec	tag_language	Makhuwa	
MAL 	spec	tag_language	Malayalam	
MAM 	spec	tag_language	Mam	
MAN 	spec	tag_language	Mansi	
MAP 	spec	tag_language	Mapudungun	
MAR 	spec	tag_language	Marathi	
MAW 	spec	tag_language	Marwari	
MBN 	spec	tag_language	Mbundu	
MBO 	spec	tag_language	Mbo	
MCH 	spec	tag_language	Manchu	
MCR 	spec	tag_language	Moose Cree	
MDE 	spec	tag_language	Mende	
MDR 	spec	tag_language	Mandar	
MEN 	spec	tag_language	Me’en	
MER 	spec	tag_language	Meru	
MEV 	spec	tag_language	Mano	
MFA 	spec	tag_language	Pattani Malay	
MFE 	spec	tag_language	Morisyen	
MIN 	spec	tag_language	Minangkabau	
MIZ 	spec	tag_language	Mizo	
MKD 	spec	tag_language	Macedonian	
MKR 	spec	tag_language	Makasar	
MKW 	spec	tag_language	Kituba	
MLE 	spec	tag_language	Male	
MLG 	spec	tag_language	Malagasy	
MLN 	spec	tag_language	Malinke	
MLR 	spec	tag_language	Malayalam Reformed	
MLY 	spec	tag_language	Malay	
MND 	spec	tag_language	Mandinka	
MNG 	spec	tag_language	Mongolian	
MNI 	spec	tag_language	Manipuri	
MNK 	spec	tag_language	Maninka	
MNX 	spec	tag_language	Manx	
MOH 	spec	tag_language	Mohawk	
MOK 	spec	tag_language	Moksha	
MOL 	spec	tag_language	Moldavian	
MON 	spec	tag_language	Mon	
MONT	spec	tag_language	Thailand Mon	
MOR 	spec	tag_language	Moroccan	
MOS 	spec	tag_language	Mossi	
MRI 	spec	tag_language	Maori	
MTH 	spec	tag_language	Maithili	
MTS 	spec	tag_language	Maltese	
MUN 	spec	tag_language	Mundari	
MUS 	spec	tag_language	Muscogee	
MWL 	spec	tag_language	Mirandese	
MWW 	spec	tag_language	Hmong Daw	
MYN 	spec	tag_language	Mayan	
MZN 	spec	tag_language	Mazanderani	
NAG 	spec	tag_language	Naga-Assamese	
NAH 	spec	tag_language	Nahuatl	
NAN 	spec	tag_language	Nanai	
NAP 	spec	tag_language	Neapolitan	
NAS 	spec	tag_language	Naskapi	
NAU 	spec	tag_language	Nauruan	
NAV 	spec	tag_language	Navajo	
NCR 	spec	tag_language	N-Cree	
NDB 	spec	tag_language	Ndebele	
NDC 	spec	tag_language	Ndau	
NDG 	spec	tag_language	Ndonga	
NDS 	spec	tag_language	Low Saxon	
NEP 	spec	tag_language	Nepali	
NEW 	spec	tag_language	Newari	
NGA 	spec	tag_language	Ngbaka	
NGR 	spec	tag_language	Nagari	
NHC 	spec	tag_language	Norway House Cree	
NIS 	spec	tag_language	Nisi	
NIU 	spec	tag_language	Niuean	
NKL 	spec	tag_language	Nyankole	
NKO 	spec	tag_language	N’Ko	
NLD 	spec	tag_language	Dutch	
NOE 	spec	tag_language	Nimadi	
NOG 	spec	tag_language	Nogai	
NOP 	spec	tag_language	Numanggang	
NOR 	spec	tag_language	Norwegian	
NOV 	spec	tag_language	Novial	
NSM 	spec	tag_language	Northern Sami	
NSO 	spec	tag_language	Northern Sotho	
NTA 	spec	tag_language	Northern Tai	
NTO 	spec	tag_language	Esperanto	
NUK 	spec	tag_language	Nuu-chah-nulth	
NYM 	spec	tag_language	Nyamwezi	
NYN 	spec	tag_language	Norwegian Nynorsk (Nynorsk, Norwegian)	
NZA 	spec	tag_language	Mbembe Tigon	
OCI 	spec	tag_language	Occitan	
OCR 	spec	tag_language	Oji-Cree	
OJB 	spec	tag_language	Ojibway	
ONE 	spec	tag_language	Oneida	
ONO 	spec	tag_language	Onondaga	
ORI 	spec	tag_language	Odia	
ORO 	spec	tag_language	Oromo	
OSS 	spec	tag_language	Ossetian	
PAA 	spec	tag_language	Palestinian Aramaic	
PAG 	spec	tag_language	Pangasinan	
PAL 	spec	tag_language	Pali	
PAM 	spec	tag_language	Pampangan	
PAN 	spec	tag_language	Punjabi	
PAP 	spec	tag_language	Palpa	
PAP0	spec	tag_language	Papiamentu	
PAS 	spec	tag_language	Pashto	
PAU 	spec	tag_language	Palauan	
PCC 	spec	tag_language	Bouyei	
PCD 	spec	tag_language	Picard	
PDC 	spec	tag_language	Pennsylvania German	
PGR 	spec	tag_language	Polytonic Greek	
PHK 	spec	tag_language	Phake	
PIH 	spec	tag_language	Norfolk	
PIL 	spec	tag_language	Filipino	
PLG 	spec	tag_language	Palaung	
PLG0	spec	tag_language	Pilagá	
PLK 	spec	tag_language	Polish	
PMS 	spec	tag_language	Piemontese	
PNB 	spec	tag_language	Western Panjabi	
POH 	spec	tag_language	Pocomchi	
PON 	spec	tag_language	Pohnpeian	
PRO 	spec	tag_language	Provençal / Old Provençal	
PTG 	spec	tag_language	Portuguese	
PWO 	spec	tag_language	Western Pwo Karen	
QIN 	spec	tag_language	Chin	
QUC 	spec	tag_language	K’iche’	
QUH 	spec	tag_language	Quechua (Bolivia)	
QUZ 	spec	tag_language	Quechua	
QVI 	spec	tag_language	Quechua (Ecuador)	
QWH 	spec	tag_language	Quechua (Peru)	
RAJ 	spec	tag_language	Rajasthani	
RAR 	spec	tag_language	Rarotongan	
RBU 	spec	tag_language	Russian Buriat	
RCR 	spec	tag_language	R-Cree	
REJ 	spec	tag_language	Rejang	
RIA 	spec	tag_language	Riang	
RHG 	spec	tag_language	Rohingya	
RIF 	spec	tag_language	Tarifit	
RIT 	spec	tag_language	Ritarungo	
RKW 	spec	tag_language	Arakwal	
RMS 	spec	tag_language	Romansh	
RMY 	spec	tag_language	Vlax Romani	
ROM 	spec	tag_language	Romanian	
ROY 	spec	tag_language	Romany	
RSY 	spec	tag_language	Rusyn	
RTM 	spec	tag_language	Rotuman	
RUA 	spec	tag_language	Kinyarwanda	
RUN 	spec	tag_language	Rundi	
RUP 	spec	tag_language	Aromanian	
RUS 	spec	tag_language	Russian	
SAD 	spec	tag_language	Sadri	
SAN 	spec	tag_language	Sanskrit	
SAS 	spec	tag_language	Sasak	
SAT 	spec	tag_language	Santali	
SAY 	spec	tag_language	Sayisi	
SCN 	spec	tag_language	Sicilian	
SCO 	spec	tag_language	Scots	
SCS 	spec	tag_language	North Slavey	
SEE 	spec	tag_language	Seneca	
SEK 	spec	tag_language	Sekota	
SEL 	spec	tag_language	Selkup	
SFM 	spec	tag_language	Small Flowery Miao	
SGA 	spec	tag_language	Old Irish	
SGO 	spec	tag_language	Sango	
SGS 	spec	tag_language	Samogitian	
SHI 	spec	tag_language	Tachelhit	
SHN 	spec	tag_language	Shan	
SIB 	spec	tag_language	Sibe	
SID 	spec	tag_language	Sidamo	
SIG 	spec	tag_language	Silte Gurage	
SJA 	spec	tag_language	Epena	
SJE 	spec	tag_language	Pite Sami	
SJU 	spec	tag_language	Ume Sami	
SKS 	spec	tag_language	Skolt Sami	
SKY 	spec	tag_language	Slovak	
SLA 	spec	tag_language	Slavey	
SLV 	spec	tag_language	Slovenian	
SML 	spec	tag_language	Somali	
SMO 	spec	tag_language	Samoan	
SNA 	spec	tag_language	Sena	
SNA0	spec	tag_language	Shona	
SND 	spec	tag_language	Sindhi	
SNH 	spec	tag_language	Sinhala (Sinhalese)	
SNK 	spec	tag_language	Soninke	
SOG 	spec	tag_language	Sodo Gurage	
SOP 	spec	tag_language	Songe	
SOT 	spec	tag_language	Southern Sotho	
SQI 	spec	tag_language	Albanian	
SRB 	spec	tag_language	Serbian	
SRD 	spec	tag_language	Sardinian	
SRK 	spec	tag_language	Saraiki	
SRR 	spec	tag_language	Serer	
SSL 	spec	tag_language	South Slavey	
SSM 	spec	tag_language	Southern Sami	
STR 	spec	tag_language	Straits Salish	
STQ 	spec	tag_language	Saterland Frisian	
SUK 	spec	tag_language	Sukuma	
SUN 	spec	tag_language	Sundanese	
SUR 	spec	tag_language	Suri	
SVA 	spec	tag_language	Svan	
SVE 	spec	tag_language	Swedish	
SWA 	spec	tag_language	Swadaya Aramaic	
SWK 	spec	tag_language	Swahili	
SWZ 	spec	tag_language	Swati	
SXT 	spec	tag_language	Sutu	
SXU 	spec	tag_language	Upper Saxon	
SYL 	spec	tag_language	Sylheti	
SYR 	spec	tag_language	Syriac	
SYRE	spec	tag_language	Syriac, Estrangela script-variant	
SYRJ	spec	tag_language	Syriac, Western script-variant	
SYRN	spec	tag_language	Syriac, Eastern script-variant	
SZL 	spec	tag_language	Silesian	
TAB 	spec	tag_language	Tabasaran	
TAJ 	spec	tag_language	Tajiki	
TAM 	spec	tag_language	Tamil	
TAQ 	spec	tag_language	Tamasheq	
TAT 	spec	tag_language	Tatar	
TBV 	spec	tag_language	Tobo	
TCR 	spec	tag_language	TH-Cree	
TDC 	spec	tag_language	Emberá-Tadó	
TDD 	spec	tag_language	Dehong Dai	
TEL 	spec	tag_language	Telugu	
TET 	spec	tag_language	Tetum	
TGL 	spec	tag_language	Tagalog	
TGN 	spec	tag_language	Tongan	
TGR 	spec	tag_language	Tigre	
TGY 	spec	tag_language	Tigrinya	
THA 	spec	tag_language	Thai	
THT 	spec	tag_language	Tahitian	
THP 	spec	tag_language	Thompson	
THV 	spec	tag_language	Tahaggart Tamahaq	
THZ 	spec	tag_language	Tayart Tamajeq	
TIB 	spec	tag_language	Tibetan	
TIV 	spec	tag_language	Tiv	
TJL 	spec	tag_language	Tai Laing	
TKM 	spec	tag_language	Turkmen	
TLI 	spec	tag_language	Tlingit	
TMH 	spec	tag_language	Tamashek	
TLY 	spec	tag_language	Talysh	
TMN 	spec	tag_language	Temne	
TNA 	spec	tag_language	Tswana	
TNE 	spec	tag_language	Tundra Enets	
TNG 	spec	tag_language	Tonga	
TOD 	spec	tag_language	Todo	
TOD0	spec	tag_language	Toma	
TPI 	spec	tag_language	Tok Pisin	
TRK 	spec	tag_language	Turkish	
TSG 	spec	tag_language	Tsonga	
TSJ 	spec	tag_language	Tshangla	
TTQ 	spec	tag_language	Tawallammat Tamajaq	
TUA 	spec	tag_language	Turoyo Aramaic	
TUL 	spec	tag_language	Tulu	
TUM 	spec	tag_language	Tumbuka	
TUS 	spec	tag_language	Tuscarora	
TUV 	spec	tag_language	Tuvin	
TVL 	spec	tag_language	Tuvalu	
TWI 	spec	tag_language	Twi	
TYZ 	spec	tag_language	Tày	
TZM 	spec	tag_language	Tamazight	
TZO 	spec	tag_language	Tzotzil	
UDI 	spec	tag_language	Udi	
UDM 	spec	tag_language	Udmurt	
UKR 	spec	tag_language	Ukrainian	
UMB 	spec	tag_language	Umbundu	
UPPH	spec	tag_language	Uralic Phonetic Alphabet	
URD 	spec	tag_language	Urdu	
USB 	spec	tag_language	Upper Sorbian	
UYG 	spec	tag_language	Uyghur	
UZB 	spec	tag_language	Uzbek	
VEC 	spec	tag_language	Venetian	
VEN 	spec	tag_language	Venda	
VIT 	spec	tag_language	Vietnamese	
VOL 	spec	tag_language	Volapük	
VRO 	spec	tag_language	Võro	
WA 	spec	tag_language	Wa	
WAG 	spec	tag_language	Wagdi	
WAR 	spec	tag_language	Waray-Waray	
WBL 	spec	tag_language	Wakhi	
WCI 	spec	tag_language	Waci Gbe	
WCR 	spec	tag_language	West-Cree	
WDT 	spec	tag_language	Wendat	
WEL 	spec	tag_language	Welsh	
WLF 	spec	tag_language	Wolof	
WLN 	spec	tag_language	Walloon	
WTM 	spec	tag_language	Mewati	
WYN 	spec	tag_language	Wyandot	
XBD 	spec	tag_language	Lü	
XHS 	spec	tag_language	Xhosa	
XJB 	spec	tag_language	Minjangbal	
XKF 	spec	tag_language	Khengkha	
XOG 	spec	tag_language	Soga	
XPE 	spec	tag_language	Kpelle (Liberia)	
XUB 	spec	tag_language	Bette Kuruma	
XUJ 	spec	tag_language	Jennu Kuruma	
YAK 	spec	tag_language	Sakha	
YAO 	spec	tag_language	Yao	
YAP 	spec	tag_language	Yapese	
YBA 	spec	tag_language	Yoruba	
YCR 	spec	tag_language	Y-Cree	
YGP 	spec	tag_language	Gepo	
